,Date,Season,Team,상대팀,R,RECp,pita
80,2019-03-23,2019,삼성,NC,3.2,3.0,0.5322245322245323
81,2019-03-23,2019,NC,삼성,5.4,2.6,0.811804008908686
82,2019-03-23,2019,LG,KIA,3.6,4.0,0.44751381215469616
83,2019-03-23,2019,KIA,LG,5.8,5.4,0.5356687898089172
84,2019-03-24,2019,한화,두산,2.2,2.6,0.41724137931034483
85,2019-03-24,2019,두산,한화,3.8,4.6,0.4056179775280899
86,2019-03-24,2019,KT,SK,1.8,4.0,0.16839916839916838
87,2019-03-24,2019,SK,KT,5.6,3.0,0.7770069375619424
88,2019-03-24,2019,키움,롯데,4.4,4.6,0.4777887462981245
89,2019-03-24,2019,롯데,키움,2.6,3.2,0.39764705882352935
90,2019-03-24,2019,삼성,NC,3.0,3.8,0.38395904436860073
91,2019-03-24,2019,NC,삼성,6.2,2.4,0.869683257918552
92,2019-03-24,2019,LG,KIA,3.0,2.2,0.6502890173410405
93,2019-03-24,2019,KIA,LG,5.0,4.2,0.5863039399624765
94,2019-03-26,2019,키움,두산,4.0,2.2,0.7677543186180422
95,2019-03-26,2019,두산,키움,3.2,3.2,0.5
96,2019-03-26,2019,LG,SK,2.0,4.0,0.2
97,2019-03-26,2019,SK,LG,3.0,5.6,0.2229930624380575
98,2019-03-26,2019,삼성,롯데,3.6,5.6,0.29241877256317694
99,2019-03-26,2019,롯데,삼성,5.4,2.4,0.8350515463917526
100,2019-03-26,2019,KT,NC,3.4,4.0,0.4194484760522496
101,2019-03-26,2019,NC,KT,5.0,2.6,0.7871536523929471
102,2019-03-26,2019,한화,KIA,4.4,2.4,0.7707006369426751
103,2019-03-26,2019,KIA,한화,3.8,5.6,0.31528384279475985
104,2019-03-27,2019,키움,두산,4.2,3.0,0.6621621621621622
105,2019-03-27,2019,두산,키움,4.0,3.4,0.5805515239477503
106,2019-03-27,2019,LG,SK,3.0,4.0,0.36
107,2019-03-27,2019,SK,LG,2.8,5.4,0.21189189189189186
108,2019-03-27,2019,삼성,롯데,2.8,5.4,0.21189189189189186
109,2019-03-27,2019,롯데,삼성,5.4,1.8,0.8999999999999999
110,2019-03-27,2019,KT,NC,3.8,4.8,0.38527214514407687
111,2019-03-27,2019,NC,KT,5.6,3.8,0.6847161572052402
112,2019-03-27,2019,한화,KIA,6.0,2.6,0.8419083255378859
113,2019-03-27,2019,KIA,한화,3.6,7.0,0.2091672046481601
114,2019-03-28,2019,키움,두산,4.0,3.2,0.6097560975609756
115,2019-03-28,2019,두산,키움,4.0,3.0,0.64
116,2019-03-28,2019,LG,SK,2.8,3.8,0.3518850987432675
117,2019-03-28,2019,SK,LG,2.2,4.2,0.21530249110320288
118,2019-03-28,2019,삼성,롯데,7.4,5.0,0.6865596790371113
119,2019-03-28,2019,롯데,삼성,5.0,6.4,0.37901758641600963
120,2019-03-28,2019,KT,NC,3.0,5.2,0.2497225305216426
121,2019-03-28,2019,NC,KT,5.8,3.8,0.699667221297837
122,2019-03-28,2019,한화,KIA,6.0,3.8,0.7137192704203014
123,2019-03-28,2019,KIA,한화,5.0,6.8,0.3509264458169568
124,2019-03-29,2019,롯데,LG,2.2,3.8,0.25103734439834025
125,2019-03-29,2019,LG,롯데,9.2,5.6,0.7296551724137931
126,2019-03-29,2019,두산,삼성,5.6,8.2,0.318052738336714
127,2019-03-29,2019,삼성,두산,4.8,4.0,0.5901639344262295
128,2019-03-29,2019,KIA,KT,6.4,3.6,0.7596439169139466
129,2019-03-29,2019,KT,KIA,6.4,5.0,0.6209824135839903
130,2019-03-29,2019,SK,키움,4.8,3.6,0.64
131,2019-03-29,2019,키움,SK,3.0,4.2,0.33783783783783783
132,2019-03-29,2019,NC,한화,5.6,7.2,0.37692307692307686
133,2019-03-29,2019,한화,NC,3.0,5.8,0.21106941838649154
134,2019-03-30,2019,롯데,LG,2.4,3.8,0.2851485148514851
135,2019-03-30,2019,LG,롯데,8.2,5.0,0.7289679098005204
136,2019-03-30,2019,두산,삼성,4.8,8.6,0.23752577319587628
137,2019-03-30,2019,삼성,두산,4.4,3.6,0.599009900990099
138,2019-03-30,2019,KIA,KT,5.6,4.0,0.6621621621621621
139,2019-03-30,2019,KT,KIA,7.2,5.6,0.6230769230769231
140,2019-03-30,2019,SK,키움,5.0,2.6,0.7871536523929471
141,2019-03-30,2019,키움,SK,2.6,3.8,0.3188679245283019
142,2019-03-30,2019,NC,한화,4.6,8.2,0.23936651583710405
143,2019-03-30,2019,한화,NC,4.8,4.4,0.5433962264150942
144,2019-03-31,2019,롯데,LG,3.2,2.2,0.6790450928381964
145,2019-03-31,2019,LG,롯데,8.0,5.2,0.7029876977152899
146,2019-03-31,2019,두산,삼성,5.0,8.2,0.27103209019947966
147,2019-03-31,2019,삼성,두산,2.6,4.2,0.27704918032786885
148,2019-03-31,2019,KIA,KT,4.8,4.6,0.5212669683257919
149,2019-03-31,2019,KT,KIA,6.6,5.4,0.599009900990099
150,2019-03-31,2019,SK,키움,4.0,2.8,0.6711409395973155
151,2019-03-31,2019,키움,SK,2.6,2.8,0.463013698630137
152,2019-03-31,2019,NC,한화,5.4,8.6,0.28277734678044997
153,2019-03-31,2019,한화,NC,6.6,4.8,0.654054054054054
154,2019-04-02,2019,KT,두산,3.0,4.6,0.2984084880636605
155,2019-04-02,2019,두산,KT,3.8,3.4,0.5553846153846154
156,2019-04-02,2019,롯데,SK,2.8,3.8,0.3518850987432675
157,2019-04-02,2019,SK,롯데,8.8,4.8,0.7707006369426751
158,2019-04-02,2019,KIA,삼성,5.4,8.6,0.28277734678044997
159,2019-04-02,2019,삼성,KIA,4.4,4.8,0.45660377358490567
160,2019-04-02,2019,키움,NC,5.6,4.2,0.6399999999999999
161,2019-04-02,2019,NC,키움,4.2,3.8,0.5498753117206983
162,2019-04-02,2019,LG,한화,5.2,6.6,0.38300283286118986
163,2019-04-02,2019,한화,LG,3.6,2.2,0.7280898876404495
164,2019-04-03,2019,KT,두산,2.6,5.8,0.16732673267326734
165,2019-04-03,2019,두산,KT,4.8,3.2,0.6923076923076923
166,2019-04-03,2019,롯데,SK,3.6,3.4,0.5285481239804242
167,2019-04-03,2019,SK,롯데,4.2,5.0,0.41369606003752346
168,2019-04-03,2019,KIA,삼성,5.4,4.2,0.6230769230769231
169,2019-04-03,2019,삼성,KIA,3.8,3.8,0.5
170,2019-04-03,2019,키움,NC,7.0,4.6,0.6984036488027366
171,2019-04-03,2019,NC,키움,4.8,5.0,0.4796003330557868
172,2019-04-03,2019,LG,한화,3.8,7.0,0.22761664564943254
173,2019-04-03,2019,한화,LG,4.4,2.4,0.7707006369426751
174,2019-04-04,2019,KT,두산,1.8,6.0,0.08256880733944955
175,2019-04-04,2019,두산,KT,4.6,3.0,0.7015915119363395
176,2019-04-04,2019,롯데,SK,4.0,3.0,0.64
177,2019-04-04,2019,SK,롯데,2.0,4.2,0.18484288354898337
178,2019-04-04,2019,KIA,삼성,4.6,3.0,0.7015915119363395
179,2019-04-04,2019,삼성,KIA,4.2,3.2,0.6327116212338594
180,2019-04-04,2019,키움,NC,6.8,5.2,0.631004366812227
181,2019-04-04,2019,NC,키움,5.8,4.2,0.65600624024961
182,2019-04-04,2019,LG,한화,4.0,6.2,0.2939015429831006
