,index,date,상대팀,승/패,선수명,등판,타자,투구수,타수,피안타,홈런,4사구,삼진,실점,자책,평균자책점
0,0,2019-03-12,롯데,패,구창모,선발,18,77.0,15.0,6.0,2.0,3.0,3.0,6.0,5.0,15.0
1,5,2019-03-12,NC,승,레일리,선발,21,85.0,19.0,6.0,0.0,1.0,4.0,3.0,3.0,5.4
2,10,2019-03-12,삼성,패,쿠에바스,선발,23,78.0,21.0,9.0,1.0,1.0,4.0,6.0,6.0,12.46
3,17,2019-03-12,KT,승,윤성환,선발,18,64.0,16.0,6.0,4.0,2.0,1.0,6.0,4.0,12.0
4,23,2019-03-12,KIA,패,김광현,선발,13,43.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
5,29,2019-03-12,SK,승,터너,선발,18,72.0,16.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0
6,33,2019-03-12,키움,패,윌슨,선발,16,68.0,16.0,4.0,1.0,0.0,4.0,3.0,3.0,6.75
7,40,2019-03-12,LG,승,요키시,선발,23,84.0,20.0,8.0,0.0,3.0,4.0,1.0,1.0,1.93
8,45,2019-03-12,한화,패,장원준,선발,9,34.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
9,52,2019-03-12,두산,승,김재영,선발,18,65.0,16.0,4.0,0.0,2.0,2.0,2.0,2.0,4.5
10,58,2019-03-13,롯데,승,이재학,선발,11,37.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
11,63,2019-03-13,NC,패,김원중,선발,12,39.0,12.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0
12,68,2019-03-13,삼성,패,금민철,선발,17,65.0,16.0,4.0,0.0,1.0,2.0,2.0,2.0,4.5
13,73,2019-03-13,KT,승,헤일리,선발,17,76.0,17.0,5.0,0.0,0.0,5.0,1.0,1.0,2.25
14,79,2019-03-13,KIA,무,산체스,선발,14,52.0,14.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
15,85,2019-03-13,SK,무,윌랜드,선발,17,83.0,15.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0
16,90,2019-03-13,키움,승,켈리,선발,16,61.0,15.0,4.0,0.0,1.0,2.0,2.0,2.0,4.5
17,95,2019-03-13,LG,패,최원태,선발,20,68.0,18.0,7.0,0.0,2.0,3.0,3.0,3.0,6.75
18,101,2019-03-13,한화,패,유희관,선발,16,62.0,14.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
19,107,2019-03-13,두산,승,김성훈,선발,16,69.0,14.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
20,113,2019-03-14,LG,승,후랭코프,선발,15,61.0,15.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
21,117,2019-03-14,두산,패,임찬규,선발,20,77.0,16.0,5.0,0.0,3.0,4.0,4.0,4.0,9.0
22,123,2019-03-14,삼성,승,김영규,선발,14,52.0,14.0,1.0,1.0,0.0,4.0,1.0,1.0,2.08
23,129,2019-03-14,NC,패,최채흥,선발,21,74.0,19.0,5.0,0.0,2.0,4.0,4.0,2.0,3.6
24,134,2019-03-14,KIA,패,이대은,선발,22,74.0,21.0,9.0,0.0,1.0,1.0,5.0,5.0,11.25
25,140,2019-03-14,KT,승,임기영,선발,20,76.0,18.0,6.0,0.0,2.0,5.0,4.0,4.0,8.31
26,146,2019-03-14,키움,패,톰슨,선발,24,82.0,20.0,5.0,0.0,4.0,6.0,3.0,3.0,5.79
27,151,2019-03-14,롯데,승,안우진,선발,20,80.0,16.0,2.0,1.0,4.0,5.0,2.0,2.0,3.86
28,155,2019-03-14,한화,패,다익손,선발,15,59.0,14.0,2.0,0.0,1.0,2.0,1.0,1.0,2.25
29,161,2019-03-14,SK,승,채드벨,선발,17,68.0,16.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0
30,168,2019-03-15,삼성,승,윤강민,선발,19,74.0,15.0,5.0,0.0,4.0,2.0,1.0,1.0,2.25
31,172,2019-03-15,NC,패,최충연,선발,22,83.0,21.0,7.0,1.0,1.0,5.0,3.0,3.0,5.79
32,177,2019-03-15,키움,패,장시환,선발,18,68.0,14.0,2.0,0.0,4.0,6.0,1.0,1.0,2.25
33,182,2019-03-15,롯데,승,김동준,선발,17,69.0,17.0,5.0,1.0,0.0,2.0,3.0,3.0,6.75
34,187,2019-03-15,한화,승,박종훈,선발,15,63.0,13.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
35,193,2019-03-15,SK,패,서폴드,선발,17,65.0,17.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
36,199,2019-03-16,삼성,승,정우영,선발,6,27.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
37,206,2019-03-16,LG,패,맥과이어,선발,18,73.0,16.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0
38,213,2019-03-16,KT,승,문승원,선발,16,69.0,15.0,3.0,0.0,1.0,1.0,1.0,1.0,1.8
39,219,2019-03-16,SK,패,배제성,선발,20,84.0,17.0,6.0,1.0,3.0,3.0,4.0,0.0,0.0
40,226,2019-03-16,KIA,무,버틀러,선발,20,67.0,19.0,4.0,0.0,1.0,2.0,2.0,2.0,3.6
41,232,2019-03-16,NC,무,양현종,선발,20,69.0,18.0,6.0,0.0,2.0,5.0,2.0,2.0,4.5
42,238,2019-03-16,키움,승,린드블럼,선발,17,65.0,16.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0
43,244,2019-03-16,두산,패,브리검,선발,20,80.0,19.0,4.0,0.0,1.0,3.0,2.0,2.0,3.6
44,249,2019-03-16,한화,패,윤성빈,선발,16,66.0,14.0,3.0,0.0,2.0,6.0,2.0,2.0,4.91
45,254,2019-03-16,롯데,승,박주홍,선발,19,74.0,16.0,1.0,0.0,3.0,3.0,1.0,1.0,1.8
46,259,2019-03-17,삼성,승,윌슨,선발,19,79.0,16.0,2.0,0.0,3.0,4.0,1.0,1.0,4.0
47,264,2019-03-17,LG,패,백정현,선발,25,76.0,21.0,6.0,0.0,4.0,3.0,3.0,2.0,3.6
48,269,2019-03-17,KT,승,이승진,선발,14,59.0,12.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0
49,275,2019-03-17,SK,패,손동현,선발,15,63.0,13.0,3.0,0.0,2.0,6.0,1.0,0.0,0.0
50,282,2019-03-17,KIA,패,루친스키,선발,26,75.0,23.0,11.0,0.0,2.0,2.0,6.0,6.0,10.8
51,287,2019-03-17,NC,승,터너,선발,24,86.0,20.0,6.0,0.0,3.0,3.0,3.0,3.0,2.45
52,291,2019-03-17,키움,승,이용찬,선발,17,77.0,14.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0
53,295,2019-03-17,두산,패,요키시,선발,19,76.0,17.0,3.0,0.0,2.0,3.0,0.0,0.0,0.93
54,301,2019-03-17,한화,승,레일리,선발,15,61.0,12.0,1.0,0.0,2.0,5.0,1.0,1.0,4.0
55,309,2019-03-17,롯데,패,김민우,선발,17,58.0,16.0,4.0,1.0,1.0,3.0,1.0,1.0,2.25
56,316,2019-03-19,SK,패,유희관,선발,17,74.0,17.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0
57,320,2019-03-19,두산,승,이원준,선발,10,49.0,9.0,2.0,1.0,1.0,4.0,2.0,2.0,7.71
58,327,2019-03-19,키움,패,김기훈,선발,19,81.0,13.0,3.0,1.0,5.0,4.0,3.0,3.0,6.75
59,332,2019-03-19,KIA,승,이승호,선발,21,68.0,21.0,4.0,0.0,0.0,4.0,1.0,1.0,1.5
60,336,2019-03-19,롯데,패,윤성환,선발,23,59.0,20.0,5.0,0.0,2.0,0.0,3.0,2.0,6.75
61,341,2019-03-19,삼성,승,김원중,선발,16,68.0,16.0,5.0,0.0,0.0,4.0,0.0,0.0,1.29
62,347,2019-03-19,NC,승,채드벨,선발,20,80.0,20.0,5.0,0.0,0.0,4.0,1.0,1.0,0.87
63,353,2019-03-19,한화,패,구창모,선발,5,14.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,13.5
64,360,2019-03-19,KT,무,켈리,선발,16,77.0,14.0,3.0,0.0,2.0,3.0,1.0,1.0,3.38
65,367,2019-03-19,LG,무,금민철,선발,22,80.0,19.0,6.0,1.0,3.0,1.0,3.0,3.0,5.19
66,370,2019-03-20,SK,패,후랭코프,선발,21,74.0,18.0,4.0,0.0,3.0,5.0,1.0,0.0,0.0
67,373,2019-03-20,두산,승,다익손,선발,17,81.0,15.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0
68,377,2019-03-20,롯데,패,최채흥,선발,19,81.0,15.0,4.0,0.0,4.0,3.0,2.0,2.0,4.0
69,382,2019-03-20,삼성,승,박시영,선발,9,34.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
70,389,2019-03-20,NC,패,김재영,선발,11,57.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,2.57
71,393,2019-03-20,한화,승,이재학,선발,12,51.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
72,401,2019-03-20,키움,패,임기영,선발,11,31.0,10.0,3.0,0.0,1.0,3.0,0.0,0.0,4.91
73,407,2019-03-20,KIA,승,김동준,선발,14,49.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,3.38
74,413,2019-03-23,두산,패,서폴드,선발,24,104.0,21.0,5.0,1.0,3.0,1.0,3.0,3.0,4.76
75,418,2019-03-23,한화,승,린드블럼,선발,27,93.0,24.0,9.0,0.0,3.0,5.0,2.0,2.0,3.18
76,424,2019-03-23,SK,패,쿠에바스,선발,26,84.0,24.0,7.0,1.0,2.0,3.0,4.0,4.0,6.35
77,428,2019-03-23,KT,승,김광현,선발,29,110.0,26.0,8.0,1.0,3.0,7.0,4.0,4.0,6.0
78,432,2019-03-23,롯데,승,브리검,선발,24,86.0,22.0,6.0,0.0,2.0,6.0,4.0,3.0,5.4
79,437,2019-03-23,키움,패,레일리,선발,21,81.0,19.0,6.0,2.0,2.0,4.0,5.0,5.0,11.25
80,443,2019-03-23,NC,패,맥과이어,선발,23,86.0,18.0,8.0,3.0,5.0,3.0,7.0,7.0,17.18
81,449,2019-03-23,삼성,승,버틀러,선발,25,96.0,23.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
82,453,2019-03-23,KIA,승,윌슨,선발,26,93.0,22.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0
83,456,2019-03-23,LG,패,양현종,선발,22,91.0,21.0,5.0,0.0,1.0,8.0,1.0,1.0,1.5
84,462,2019-03-24,두산,승,채드벨,선발,25,95.0,24.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0
85,464,2019-03-24,한화,패,이용찬,선발,27,103.0,24.0,4.0,0.0,3.0,9.0,6.0,2.0,3.0
86,468,2019-03-24,SK,패,금민철,선발,19,85.0,18.0,6.0,1.0,1.0,1.0,2.0,2.0,4.5
87,473,2019-03-24,KT,승,산체스,선발,24,96.0,20.0,6.0,0.0,4.0,7.0,3.0,3.0,5.4
88,478,2019-03-24,롯데,패,요키시,선발,23,94.0,21.0,5.0,1.0,1.0,4.0,4.0,4.0,6.35
89,482,2019-03-24,키움,승,김원중,선발,21,98.0,20.0,4.0,0.0,1.0,6.0,2.0,2.0,3.38
90,487,2019-03-24,NC,승,백정현,선발,26,93.0,25.0,8.0,1.0,1.0,2.0,3.0,3.0,5.06
91,492,2019-03-24,삼성,패,루친스키,선발,22,82.0,14.0,1.0,0.0,7.0,3.0,1.0,1.0,1.8
92,497,2019-03-24,KIA,승,켈리,선발,25,87.0,25.0,6.0,0.0,0.0,5.0,3.0,1.0,1.5
93,501,2019-03-24,LG,패,터너,선발,29,97.0,27.0,10.0,2.0,2.0,1.0,8.0,7.0,12.6
94,505,2019-03-26,두산,패,최원태,선발,18,90.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
95,510,2019-03-26,키움,승,후랭코프,선발,22,90.0,19.0,4.0,0.0,3.0,6.0,1.0,1.0,1.8
96,516,2019-03-26,SK,승,임찬규,선발,21,84.0,21.0,8.0,1.0,0.0,7.0,3.0,3.0,5.4
97,521,2019-03-26,LG,패,다익손,선발,24,90.0,21.0,3.0,1.0,3.0,2.0,4.0,4.0,6.0
98,525,2019-03-26,롯데,패,헤일리,선발,25,110.0,24.0,6.0,0.0,1.0,3.0,3.0,3.0,4.5
99,529,2019-03-26,삼성,승,톰슨,선발,21,82.0,19.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0
100,533,2019-03-26,NC,패,이대은,선발,26,99.0,23.0,7.0,3.0,3.0,3.0,7.0,5.0,9.0
101,539,2019-03-26,KT,승,이재학,선발,22,92.0,21.0,5.0,0.0,1.0,10.0,3.0,2.0,3.6
102,546,2019-03-26,KIA,승,김재영,선발,17,74.0,15.0,7.0,0.0,2.0,1.0,5.0,5.0,16.88
103,553,2019-03-26,한화,패,임기영,선발,22,79.0,18.0,8.0,3.0,4.0,4.0,8.0,8.0,18.0
104,557,2019-03-27,두산,패,이승호,선발,24,94.0,21.0,6.0,0.0,3.0,6.0,2.0,2.0,2.57
105,562,2019-03-27,키움,승,유희관,선발,27,99.0,26.0,5.0,1.0,1.0,4.0,2.0,2.0,2.57
106,565,2019-03-27,SK,패,배재준,선발,22,88.0,21.0,3.0,1.0,1.0,4.0,1.0,1.0,1.5
107,571,2019-03-27,LG,승,박종훈,선발,26,96.0,22.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0
108,577,2019-03-27,롯데,승,최충연,선발,18,77.0,14.0,5.0,1.0,4.0,2.0,3.0,3.0,9.0
109,581,2019-03-27,삼성,패,장시환,선발,16,68.0,13.0,6.0,2.0,3.0,3.0,6.0,6.0,20.25
110,586,2019-03-27,NC,패,김민,선발,26,84.0,26.0,6.0,1.0,0.0,7.0,4.0,3.0,3.86
111,588,2019-03-27,KT,승,김영규,선발,26,86.0,22.0,5.0,0.0,3.0,1.0,1.0,1.0,1.5
112,592,2019-03-27,KIA,패,김성훈,선발,19,82.0,13.0,4.0,1.0,6.0,2.0,4.0,4.0,10.8
113,596,2019-03-27,한화,승,윌랜드,선발,28,97.0,24.0,7.0,1.0,4.0,3.0,3.0,2.0,3.0
114,600,2019-03-28,두산,승,안우진,선발,23,87.0,18.0,6.0,0.0,5.0,2.0,4.0,4.0,7.2
115,603,2019-03-28,키움,패,이영하,선발,28,96.0,24.0,6.0,0.0,4.0,0.0,3.0,3.0,4.5
116,607,2019-03-28,SK,패,차우찬,선발,17,75.0,15.0,1.0,0.0,1.0,5.0,1.0,1.0,1.8
117,610,2019-03-28,LG,승,문승원,선발,26,95.0,25.0,1.0,1.0,1.0,8.0,1.0,1.0,1.13
118,612,2019-03-28,롯데,승,최채흥,선발,21,96.0,19.0,4.0,0.0,2.0,8.0,4.0,3.0,5.4
119,618,2019-03-28,삼성,패,윤성빈,선발,4,21.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,81.0
120,624,2019-03-28,NC,패,배제성,선발,21,80.0,19.0,4.0,1.0,2.0,3.0,4.0,4.0,7.2
121,627,2019-03-28,KT,승,박진우,선발,27,92.0,25.0,8.0,1.0,2.0,4.0,2.0,2.0,2.7
122,632,2019-03-28,KIA,패,박주홍,선발,21,82.0,18.0,6.0,2.0,3.0,2.0,4.0,4.0,8.31
123,637,2019-03-28,한화,승,김기훈,선발,18,89.0,16.0,3.0,0.0,1.0,6.0,2.0,2.0,4.26
124,641,2019-03-29,LG,패,레일리,선발,25,105.0,21.0,5.0,1.0,4.0,6.0,2.0,2.0,6.52
125,644,2019-03-29,롯데,승,윌슨,선발,25,90.0,21.0,4.0,0.0,2.0,3.0,1.0,1.0,0.64
126,648,2019-03-29,삼성,승,린드블럼,선발,28,103.0,28.0,8.0,0.0,0.0,7.0,2.0,1.0,2.13
127,652,2019-03-29,두산,패,맥과이어,선발,22,102.0,18.0,3.0,0.0,4.0,5.0,1.0,1.0,8.31
128,658,2019-03-29,KT,패,양현종,선발,31,98.0,29.0,12.0,1.0,1.0,4.0,6.0,6.0,5.25
129,661,2019-03-29,KIA,승,쿠에바스,선발,25,85.0,23.0,6.0,0.0,1.0,7.0,3.0,3.0,5.4
130,664,2019-03-29,키움,승,김광현,선발,27,100.0,24.0,7.0,0.0,2.0,7.0,2.0,2.0,4.5
131,668,2019-03-29,SK,패,브리검,선발,28,100.0,22.0,7.0,0.0,5.0,0.0,4.0,4.0,5.91
132,672,2019-03-29,한화,패,버틀러,선발,30,103.0,26.0,9.0,0.0,3.0,5.0,5.0,5.0,3.38
133,675,2019-03-29,NC,승,서폴드,선발,26,103.0,24.0,5.0,0.0,2.0,7.0,0.0,0.0,2.13
134,678,2019-03-30,LG,승,김원중,선발,22,87.0,20.0,2.0,0.0,2.0,7.0,0.0,0.0,1.59
135,683,2019-03-30,롯데,패,켈리,선발,22,73.0,16.0,9.0,0.0,3.0,3.0,5.0,5.0,5.79
136,686,2019-03-30,삼성,승,이용찬,선발,23,97.0,21.0,3.0,1.0,2.0,8.0,1.0,1.0,2.25
137,691,2019-03-30,두산,패,백정현,선발,28,90.0,25.0,3.0,0.0,3.0,3.0,1.0,1.0,2.7
138,693,2019-03-30,KT,패,터너,선발,23,100.0,20.0,5.0,1.0,3.0,6.0,2.0,2.0,8.1
139,697,2019-03-30,KIA,승,알칸타라,선발,26,92.0,22.0,4.0,0.0,4.0,5.0,1.0,1.0,1.42
140,701,2019-03-30,키움,패,산체스,선발,21,92.0,20.0,4.0,0.0,1.0,8.0,1.0,0.0,2.7
141,705,2019-03-30,SK,승,요키시,선발,22,88.0,19.0,2.0,0.0,2.0,3.0,1.0,1.0,3.86
142,709,2019-03-30,한화,패,루친스키,선발,17,67.0,11.0,4.0,1.0,6.0,1.0,8.0,6.0,9.0
143,713,2019-03-30,NC,승,채드벨,선발,28,88.0,22.0,9.0,0.0,6.0,4.0,5.0,5.0,3.38
144,717,2019-03-31,LG,패,톰슨,선발,26,97.0,25.0,4.0,0.0,1.0,4.0,1.0,1.0,0.71
145,723,2019-03-31,롯데,승,임찬규,선발,23,89.0,19.0,5.0,1.0,3.0,4.0,4.0,4.0,6.3
146,729,2019-03-31,삼성,승,후랭코프,선발,24,108.0,18.0,5.0,2.0,5.0,5.0,4.0,4.0,4.5
147,735,2019-03-31,두산,패,헤일리,선발,19,94.0,17.0,5.0,1.0,2.0,7.0,5.0,4.0,6.3
148,740,2019-03-31,KT,승,황인준,선발,18,72.0,18.0,5.0,1.0,0.0,7.0,2.0,2.0,2.84
149,745,2019-03-31,KIA,패,금민철,선발,19,85.0,17.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0
150,751,2019-03-31,키움,승,다익손,선발,21,95.0,16.0,3.0,1.0,5.0,4.0,2.0,2.0,5.23
151,759,2019-03-31,SK,패,최원태,선발,23,82.0,22.0,3.0,1.0,1.0,9.0,1.0,1.0,0.82
152,765,2019-03-31,한화,승,이재학,선발,21,77.0,18.0,5.0,0.0,2.0,4.0,2.0,2.0,3.48
153,770,2019-03-31,NC,패,김민우,선발,23,88.0,18.0,3.0,2.0,5.0,2.0,3.0,3.0,5.4
154,775,2019-04-02,두산,패,이대은,선발,23,88.0,19.0,8.0,0.0,2.0,3.0,7.0,4.0,9.0
155,778,2019-04-02,KT,승,유희관,선발,22,90.0,20.0,3.0,0.0,2.0,3.0,0.0,0.0,1.38
156,782,2019-04-02,SK,승,장시환,선발,21,83.0,19.0,5.0,0.0,2.0,6.0,0.0,0.0,7.04
157,787,2019-04-02,롯데,패,박종훈,선발,26,103.0,22.0,6.0,1.0,4.0,3.0,3.0,2.0,1.54
158,791,2019-04-02,삼성,승,윌랜드,선발,27,109.0,25.0,5.0,0.0,2.0,7.0,1.0,1.0,2.19
159,795,2019-04-02,KIA,패,최충연,선발,26,105.0,19.0,5.0,0.0,6.0,3.0,4.0,4.0,7.88
160,799,2019-04-02,NC,승,이승호,선발,25,92.0,22.0,7.0,0.0,1.0,3.0,4.0,3.0,3.46
161,803,2019-04-02,키움,패,김영규,선발,27,95.0,26.0,8.0,1.0,1.0,9.0,4.0,4.0,3.75
162,809,2019-04-02,한화,패,배재준,선발,23,96.0,17.0,5.0,1.0,5.0,3.0,6.0,5.0,5.4
163,812,2019-04-02,LG,승,장민재,선발,21,89.0,17.0,4.0,0.0,4.0,6.0,2.0,1.0,3.12
164,817,2019-04-03,두산,패,김민,선발,25,97.0,21.0,3.0,1.0,4.0,6.0,3.0,3.0,4.15
165,820,2019-04-03,KT,승,이영하,선발,24,84.0,21.0,7.0,0.0,3.0,2.0,1.0,1.0,3.0
166,825,2019-04-03,SK,승,박시영,선발,20,70.0,18.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0
167,829,2019-04-03,롯데,패,문승원,선발,24,98.0,22.0,4.0,0.0,2.0,7.0,0.0,0.0,0.64
168,834,2019-04-03,삼성,패,김기훈,선발,23,97.0,20.0,2.0,1.0,3.0,4.0,4.0,4.0,5.11
169,838,2019-04-03,KIA,승,최채흥,선발,22,93.0,19.0,7.0,0.0,2.0,3.0,2.0,1.0,4.0
170,843,2019-04-03,NC,패,안우진,선발,30,103.0,30.0,10.0,2.0,0.0,8.0,5.0,3.0,5.56
171,846,2019-04-03,키움,승,박진우,선발,27,101.0,25.0,7.0,0.0,1.0,3.0,1.0,1.0,1.98
172,848,2019-04-03,한화,승,차우찬,선발,21,87.0,17.0,4.0,0.0,4.0,7.0,0.0,0.0,0.9
173,852,2019-04-03,LG,패,박주홍,선발,27,102.0,23.0,8.0,1.0,2.0,6.0,6.0,6.0,9.0
174,857,2019-04-04,두산,패,쿠에바스,선발,27,100.0,24.0,6.0,2.0,3.0,4.0,4.0,4.0,5.6
175,860,2019-04-04,KT,승,린드블럼,선발,24,96.0,23.0,2.0,0.0,1.0,7.0,0.0,0.0,1.37
176,864,2019-04-04,SK,패,레일리,선발,27,104.0,25.0,7.0,0.0,2.0,2.0,2.0,2.0,5.06
177,870,2019-04-04,롯데,승,김광현,선발,23,92.0,23.0,9.0,1.0,0.0,7.0,4.0,4.0,5.29
178,877,2019-04-04,삼성,패,양현종,선발,16,49.0,13.0,9.0,1.0,1.0,1.0,7.0,7.0,9.0
179,881,2019-04-04,KIA,승,맥과이어,선발,24,103.0,18.0,6.0,1.0,5.0,2.0,6.0,3.0,8.03
180,885,2019-04-04,NC,승,브리검,선발,19,73.0,19.0,3.0,1.0,0.0,2.0,2.0,2.0,5.17
181,889,2019-04-04,키움,패,버틀러,선발,12,47.0,11.0,5.0,1.0,0.0,1.0,4.0,0.0,2.93
182,894,2019-04-04,한화,패,윌슨,선발,27,101.0,25.0,5.0,0.0,2.0,8.0,0.0,0.0,0.43
183,898,2019-04-04,LG,승,서폴드,선발,28,120.0,25.0,4.0,0.0,2.0,5.0,1.0,0.0,1.31
184,900,2019-04-05,두산,승,루친스키,선발,25,96.0,24.0,4.0,0.0,1.0,5.0,0.0,0.0,4.5
185,905,2019-04-05,NC,패,이용찬,선발,20,84.0,18.0,8.0,3.0,2.0,3.0,5.0,5.0,4.5
186,908,2019-04-05,SK,패,백정현,선발,25,89.0,21.0,7.0,0.0,4.0,3.0,3.0,3.0,3.57
187,911,2019-04-05,삼성,승,산체스,선발,23,94.0,23.0,5.0,0.0,0.0,4.0,0.0,0.0,1.69
188,915,2019-04-05,롯데,패,채드벨,선발,28,101.0,23.0,8.0,1.0,3.0,3.0,4.0,3.0,3.93
189,919,2019-04-05,한화,승,김원중,선발,28,108.0,27.0,9.0,1.0,1.0,5.0,2.0,2.0,2.04
190,923,2019-04-05,KT,승,켈리,선발,24,109.0,21.0,1.0,0.0,3.0,7.0,0.0,0.0,3.31
191,926,2019-04-05,LG,패,알칸타라,선발,25,100.0,24.0,7.0,0.0,1.0,4.0,3.0,3.0,2.92
192,930,2019-04-05,KIA,패,요키시,선발,27,106.0,25.0,7.0,0.0,2.0,8.0,4.0,3.0,4.08
193,934,2019-04-05,키움,승,터너,선발,25,108.0,22.0,5.0,0.0,3.0,9.0,1.0,1.0,5.63
194,938,2019-04-06,두산,승,이재학,선발,29,103.0,27.0,9.0,0.0,2.0,1.0,4.0,4.0,4.41
195,942,2019-04-06,NC,패,후랭코프,선발,27,111.0,23.0,5.0,0.0,4.0,5.0,3.0,3.0,4.41
196,947,2019-04-06,SK,패,헤일리,선발,23,99.0,23.0,2.0,0.0,0.0,10.0,0.0,0.0,3.71
197,950,2019-04-06,삼성,승,다익손,선발,24,94.0,23.0,3.0,0.0,0.0,6.0,1.0,1.0,3.63
198,953,2019-04-06,롯데,패,김민우,선발,20,81.0,19.0,7.0,0.0,1.0,1.0,6.0,6.0,9.0
199,958,2019-04-06,한화,승,톰슨,선발,24,98.0,21.0,7.0,1.0,2.0,9.0,6.0,6.0,3.57
200,963,2019-04-06,KT,패,임찬규,선발,24,92.0,20.0,2.0,0.0,4.0,4.0,2.0,2.0,5.06
201,966,2019-04-06,LG,승,금민철,선발,25,101.0,20.0,4.0,0.0,5.0,1.0,0.0,0.0,1.8
202,969,2019-04-06,KIA,승,최원태,선발,25,93.0,21.0,7.0,0.0,3.0,4.0,3.0,3.0,2.25
203,972,2019-04-06,키움,패,황인준,선발,21,83.0,15.0,5.0,0.0,5.0,3.0,3.0,3.0,4.5
204,977,2019-04-07,두산,승,김영규,선발,20,89.0,17.0,4.0,0.0,3.0,2.0,2.0,2.0,3.71
205,982,2019-04-07,NC,패,유희관,선발,23,81.0,21.0,7.0,0.0,1.0,3.0,3.0,3.0,2.5
206,986,2019-04-07,SK,패,윤성환,선발,23,86.0,21.0,4.0,1.0,2.0,3.0,1.0,1.0,1.5
207,990,2019-04-07,삼성,승,박종훈,선발,21,91.0,17.0,6.0,0.0,3.0,2.0,2.0,1.0,1.72
208,996,2019-04-07,롯데,승,장민재,선발,23,87.0,23.0,5.0,1.0,0.0,8.0,1.0,1.0,2.45
209,997,2019-04-07,한화,패,장시환,선발,12,42.0,10.0,5.0,1.0,2.0,2.0,6.0,6.0,11.17
210,1000,2019-04-07,KT,패,배재준,선발,20,65.0,19.0,5.0,1.0,1.0,2.0,4.0,2.0,4.91
211,1005,2019-04-07,LG,승,이대은,선발,18,69.0,16.0,4.0,2.0,2.0,3.0,3.0,3.0,8.31
212,1010,2019-04-09,키움,패,김민,선발,15,59.0,10.0,5.0,1.0,5.0,1.0,6.0,6.0,7.2
213,1014,2019-04-09,KT,승,이승호,선발,25,98.0,23.0,5.0,1.0,2.0,4.0,3.0,3.0,3.79
214,1019,2019-04-10,LG,승,맥과이어,선발,27,101.0,22.0,6.0,1.0,4.0,3.0,5.0,5.0,7.85
215,1023,2019-04-10,삼성,패,윌슨,선발,25,86.2,20.0,3.6,0.2,2.0,4.6,1.0,1.0,2.364
216,1027,2019-04-10,롯데,승,린드블럼,선발,25,99.0,23.0,4.0,1.0,2.0,6.0,1.0,1.0,1.4
217,1033,2019-04-10,두산,패,레일리,선발,26,87.2,19.2,5.0,0.6,2.2,4.2,2.6,2.6,6.446
218,1038,2019-04-10,KIA,패,박진우,선발,25,102.0,22.0,6.0,1.0,3.0,3.0,1.0,1.0,1.83
219,1043,2019-04-10,NC,승,윌랜드,선발,26,115.0,23.0,5.0,0.0,3.0,5.0,1.0,1.0,1.86
220,1048,2019-04-10,키움,패,쿠에바스,선발,27,97.0,22.0,6.0,1.0,5.0,6.0,4.0,4.0,5.7
221,1050,2019-04-10,KT,승,안우진,선발,25,93.0,23.0,3.0,0.0,2.0,4.0,0.0,0.0,3.5
222,1054,2019-04-10,한화,승,김광현,선발,28,94.0,27.0,9.0,0.0,1.0,7.0,3.0,2.0,4.7
223,1058,2019-04-10,SK,패,서폴드,선발,23,89.0,23.0,9.0,0.0,0.0,5.0,7.0,6.0,3.16
224,1063,2019-04-11,LG,패,백정현,선발,28,101.0,27.0,8.0,1.0,1.0,4.0,5.0,5.0,4.5
